date,store_id,unit_sales
2025-01-01,101,157
2025-01-02,101,163
2025-01-03,101,179
2025-01-04,101,181
2025-01-05,101,137
2025-01-06,101,126
2025-01-07,101,158
2025-01-08,101,161
2025-01-09,101,158
2025-01-10,101,177
2025-01-11,101,151
2025-01-12,101,134
2025-01-13,101,134
2025-01-14,101,105
2025-01-15,101,124
2025-01-16,101,157
2025-01-17,101,154
2025-01-18,101,163
2025-01-19,101,127
2025-01-20,101,109
2025-01-21,101,156
2025-01-22,101,146
2025-01-23,101,166
2025-01-24,101,148
2025-01-25,101,150
2025-01-26,101,142
2025-01-27,101,113
2025-01-28,101,139
2025-01-29,101,140
2025-01-30,101,161
2025-01-31,101,160
2025-02-01,101,186
2025-02-02,101,141
2025-02-03,101,114
2025-02-04,101,146
2025-02-05,101,131
2025-02-06,101,168
2025-02-07,101,140
2025-02-08,101,138
2025-02-09,101,144
2025-02-10,101,141
2025-02-11,101,136
2025-02-12,101,148
2025-02-13,101,161
2025-02-14,101,147
2025-02-15,101,147
2025-02-16,101,134
2025-02-17,101,146
2025-02-18,101,139
2025-02-19,101,123
2025-02-20,101,170
2025-02-21,101,163
2025-02-22,101,148
2025-02-23,101,150
2025-02-24,101,145
2025-02-25,101,148
2025-02-26,101,137
2025-02-27,101,160
2025-02-28,101,174
2025-03-01,101,173
2025-03-02,101,134
2025-03-03,101,127
2025-03-04,101,117
2025-03-05,101,132
2025-03-06,101,177
2025-03-07,101,189
2025-03-08,101,157
2025-03-09,101,156
2025-03-10,101,135
2025-03-11,101,124
2025-03-12,101,155
2025-03-13,101,188
2025-03-14,101,168
2025-03-15,101,182
2025-03-16,101,102
2025-03-17,101,142
2025-03-18,101,135
2025-03-19,101,145
2025-03-20,101,167
2025-03-21,101,139
2025-03-22,101,155
2025-03-23,101,146
2025-03-24,101,152
2025-03-25,101,126
2025-03-26,101,137
2025-03-27,101,158
2025-03-28,101,183
2025-03-29,101,163
2025-03-30,101,133
2025-03-31,101,138
2025-01-01,102,151
2025-01-02,102,180
2025-01-03,102,158
2025-01-04,102,153
2025-01-05,102,135
2025-01-06,102,108
2025-01-07,102,138
2025-01-08,102,153
2025-01-09,102,165
2025-01-10,102,165
2025-01-11,102,137
2025-01-12,102,135
2025-01-13,102,125
2025-01-14,102,122
2025-01-15,102,147
2025-01-16,102,171
2025-01-17,102,197
2025-01-18,102,161
2025-01-19,102,145
2025-01-20,102,129
2025-01-21,102,105
2025-01-22,102,149
2025-01-23,102,166
2025-01-24,102,206
2025-01-25,102,155
2025-01-26,102,145
2025-01-27,102,129
2025-01-28,102,116
2025-01-29,102,167
2025-01-30,102,176
2025-01-31,102,181
2025-02-01,102,145
2025-02-02,102,162
2025-02-03,102,109
2025-02-04,102,143
2025-02-05,102,182
2025-02-06,102,150
2025-02-07,102,161
2025-02-08,102,160
2025-02-09,102,133
2025-02-10,102,107
2025-02-11,102,135
2025-02-12,102,134
2025-02-13,102,172
2025-02-14,102,155
2025-02-15,102,181
2025-02-16,102,129
2025-02-17,102,125
2025-02-18,102,146
2025-02-19,102,131
2025-02-20,102,169
2025-02-21,102,189
2025-02-22,102,134
2025-02-23,102,144
2025-02-24,102,134
2025-02-25,102,146
2025-02-26,102,131
2025-02-27,102,145
2025-02-28,102,177
2025-03-01,102,163
2025-03-02,102,145
2025-03-03,102,135
2025-03-04,102,124
2025-03-05,102,153
2025-03-06,102,170
2025-03-07,102,158
2025-03-08,102,186
2025-03-09,102,148
2025-03-10,102,112
2025-03-11,102,144
2025-03-12,102,135
2025-03-13,102,177
2025-03-14,102,186
2025-03-15,102,146
2025-03-16,102,155
2025-03-17,102,136
2025-03-18,102,146
2025-03-19,102,178
2025-03-20,102,161
2025-03-21,102,158
2025-03-22,102,145
2025-03-23,102,129
2025-03-24,102,129
2025-03-25,102,139
2025-03-26,102,154
2025-03-27,102,178
2025-03-28,102,169
2025-03-29,102,180
2025-03-30,102,137
2025-03-31,102,171
2025-01-01,103,159
2025-01-02,103,152
2025-01-03,103,153
2025-01-04,103,165
2025-01-05,103,137
2025-01-06,103,141
2025-01-07,103,141
2025-01-08,103,148
2025-01-09,103,152
2025-01-10,103,146
2025-01-11,103,151
2025-01-12,103,154
2025-01-13,103,133
2025-01-14,103,115
2025-01-15,103,152
2025-01-16,103,171
2025-01-17,103,156
2025-01-18,103,160
2025-01-19,103,142
2025-01-20,103,113
2025-01-21,103,139
2025-01-22,103,158
2025-01-23,103,181
2025-01-24,103,185
2025-01-25,103,138
2025-01-26,103,127
2025-01-27,103,138
2025-01-28,103,142
2025-01-29,103,157
2025-01-30,103,223
2025-01-31,103,178
2025-02-01,103,175
2025-02-02,103,155
2025-02-03,103,140
2025-02-04,103,129
2025-02-05,103,161
2025-02-06,103,154
2025-02-07,103,165
2025-02-08,103,151
2025-02-09,103,142
2025-02-10,103,165
2025-02-11,103,106
2025-02-12,103,160
2025-02-13,103,141
2025-02-14,103,162
2025-02-15,103,175
2025-02-16,103,142
2025-02-17,103,114
2025-02-18,103,123
2025-02-19,103,160
2025-02-20,103,154
2025-02-21,103,172
2025-02-22,103,159
2025-02-23,103,131
2025-02-24,103,162
2025-02-25,103,143
2025-02-26,103,119
2025-02-27,103,168
2025-02-28,103,159
2025-03-01,103,171
2025-03-02,103,129
2025-03-03,103,128
2025-03-04,103,141
2025-03-05,103,162
2025-03-06,103,147
2025-03-07,103,164
2025-03-08,103,151
2025-03-09,103,131
2025-03-10,103,156
2025-03-11,103,140
2025-03-12,103,131
2025-03-13,103,179
2025-03-14,103,201
2025-03-15,103,174
2025-03-16,103,118
2025-03-17,103,123
2025-03-18,103,153
2025-03-19,103,139
2025-03-20,103,172
2025-03-21,103,181
2025-03-22,103,144
2025-03-23,103,140
2025-03-24,103,81
2025-03-25,103,118
2025-03-26,103,146
2025-03-27,103,146
2025-03-28,103,193
2025-03-29,103,137
2025-03-30,103,134
2025-03-31,103,132
